Date, Open, High, Low, Close
11/12/2018,3394,3425,3295,3347
06/11/2018,6397,6450,6387,6419
20/09/2018,6410,6454,6370,6419
23/08/2018,6433,6481,6251,6419
07/09/2018,6458,6527,6326,6419
26/03/2020,6625,6791,6534,6675
09/05/2020,9968,10019,9530,9747
22/01/2021,31875,33854,28801,33555
24/10/2023,31392,35145,31350,33811
24/06/2021,32898,35246,32334,34835
29/11/2023,38282,38385,37610,37651
09/08/2024,59400,62622,59350,60691
19/07/2015,277,278,275,276
22/07/2015,280,280,275,276
18/12/2016,790,792,785,788
07/05/2017,1560,1582,1538,1556
29/05/2017,2178,2337,2125,2324
10/02/2019,3612,3630,3580,3604
26/02/2018,9591,10373,9401,10260
17/06/2022,20830,21322,20210,20500
29/05/2021,35811,37300,33671,34068
29/10/2023,34124,34748,33954,34580
21/01/2022,42721,42727,37618,38420
15/08/2021,47080,47385,45552,46356
19/11/2021,58003,58394,55666,57876
23/07/2015,276,278,276,277
18/07/2015,280,283,276,277
16/07/2015,291,293,275,277
10/01/2015,294,296,272,277
03/04/2019,4767,5189,4747,5141
18/10/2017,5628,5631,5106,5397
09/04/2018,6987,7169,6649,6677
01/05/2020,8849,9066,8590,8725
27/10/2019,9024,9804,9021,9749
01/12/2017,9454,10839,9372,10773
13/12/2017,17496,17767,15685,16405
10/12/2022,17101,17220,17077,17173
07/09/2023,25657,25952,25609,25877
18/06/2023,26469,26650,26394,26645
18/07/2023,29903,30272,29551,29717
22/06/2023,30121,30500,29575,30229
03/03/2022,43834,44325,41867,42005
13/12/2021,50301,50386,45788,46613
26/06/2024,61998,62451,60690,60949
20/07/2015,276,279,274,278
07/03/2015,274,279,270,278
23/10/2015,274,280,274,278
02/06/2016,535,541,532,534
17/12/2016,780,791,780,790
19/12/2016,788,794,787,790
13/06/2024,67574,68595,66254,66582
12/02/2019,3598,3617,3550,3606
18/01/2019,3628,3657,3580,3606
08/11/2018,6506,6510,6395,6422
16/07/2018,6364,6716,6333,6678
29/09/2019,8158,8336,7914,7958
17/07/2019,9691,9981,9089,9750
07/11/2020,15483,15771,14359,14870
09/11/2020,15390,15846,14828,15382
01/09/2023,26161,26178,25337,25622
07/05/2022,35989,36115,35720,35862
16/08/2021,46356,48055,46000,46102
19/09/2021,48262,48378,47119,47382
10/02/2024,47544,48155,46900,47894
01/10/2024,63432,64104,61082,61718
06/08/2015,283,284,278,279
01/06/2016,523,544,520,535
26/04/2017,1280,1316,1277,1303
18/02/2019,3573,3915,3572,3863
18/08/2017,4314,4357,4020,4119
28/04/2019,5204,5214,5105,5143
02/05/2019,5303,5418,5290,5399
24/10/2018,6405,6467,6391,6423
11/11/2017,6453,6826,6202,6423
25/11/2017,8244,8745,8168,8727
08/05/2018,9417,9452,9037,9239
02/07/2019,10198,10859,9661,10775
07/01/2018,16847,17204,15757,16151
17/11/2020,16840,17868,16576,17687
26/10/2022,20272,21012,20010,20759
20/08/2023,26129,26206,25997,26135
15/05/2023,26892,27661,26765,27415
31/05/2021,36101,37484,34202,36887
31/01/2024,43560,43726,42342,42519
18/05/2021,44222,45820,42442,43287
13/07/2024,57608,58968,57173,58647
07/08/2015,279,281,276,280
21/07/2015,278,281,277,280
17/07/2015,277,281,272,280
20/12/2016,790,794,788,792
06/05/2017,1520,1580,1507,1560
23/08/2017,4122,4247,4020,4120
25/10/2017,5682,5682,5377,5656
04/12/2019,7309,7769,7096,7192
29/10/2019,9418,9555,9087,9240
01/08/2020,11326,11882,11240,11800
18/02/2023,24823,24871,24083,24600
07/05/2023,28902,29169,28712,28952
08/12/2024,100382,100530,98767,99864
25/01/2022,37234,37544,35730,36888
24/10/2015,278,282,277,281
01/08/2015,286,286,277,281
07/02/2017,1024,1054,1023,1049
17/05/2017,1776,1840,1747,1817
09/11/2021,66091,68526,66004,67353
31/07/2017,2718,2848,2701,2841
02/10/2020,10615,10661,10385,10521
07/07/2019,11517,11610,11061,11545
26/06/2022,21195,21846,21129,21273
28/12/2023,43498,43812,42314,42521
02/08/2015,281,282,277,282
09/06/2017,2755,2863,2743,2842
07/08/2017,3264,3418,3191,3354
22/08/2017,4015,4138,3600,4122
10/04/2019,5213,5459,5161,5402
26/06/2018,6260,6276,6130,6170
04/07/2018,6609,6785,6415,6682
19/07/2018,7391,7510,7241,7450
24/01/2020,8354,8509,8220,8474
10/09/2019,10311,10383,9928,10010
06/09/2020,9949,10295,9888,10266
28/06/2019,10831,12336,10306,12314
04/01/2018,14978,15403,14197,14874
19/10/2022,19218,19424,19078,19226
08/09/2023,25877,26414,25664,25882
12/11/2023,37015,37231,36766,37146
25/02/2021,49180,52068,48084,49178
25/02/2024,51510,51955,51298,51738
25/11/2021,57427,59434,56906,58906
17/11/2021,59756,61162,58442,60442
05/08/2015,286,286,282,283
30/05/2016,549,550,514,539
28/07/2024,68276,69103,66723,68123
30/05/2024,67188,69515,67112,68635
19/05/2019,7247,8148,7234,7963
21/09/2019,10151,10179,9924,10011
09/08/2022,23934,24102,22891,23067
27/02/2023,23646,23885,23132,23323
04/01/2021,33750,33860,27883,31259
08/05/2022,35862,35862,33738,34587
21/04/2022,41196,42966,41170,41243
06/12/2023,43771,44445,43429,43803
29/06/2024,59956,61113,59947,60955
03/08/2015,282,286,280,284
03/03/2015,275,286,267,284
14/03/2015,288,290,281,284
26/10/2015,294,294,282,284
15/06/2017,2547,2557,2124,2332
09/02/2019,3624,3637,3582,3612
14/03/2020,5443,5776,5217,5404
01/07/2020,9138,9297,9093,9244
05/06/2023,27220,27456,25424,25628
04/09/2023,26002,26105,25732,25884
07/07/2023,30312,30441,29737,30236
13/07/2021,32824,33330,32247,32284
18/12/2024,106734,106785,100231,100636
27/11/2021,54569,55314,53574,54300
14/03/2021,61594,61673,59308,59932
02/10/2024,61722,62351,59991,60188
06/01/2015,270,288,268,285
19/03/2017,982,1058,938,1053
19/02/2017,1066,1067,1046,1053
03/06/2018,7661,7788,7589,7709
15/03/2018,8300,8409,7682,8221
31/10/2019,9209,9425,8966,9245
29/08/2019,9667,9744,9330,9501
16/06/2020,9413,9585,9385,9501
06/05/2018,9830,9887,9386,9501
01/03/2018,10639,11072,10223,11037
18/12/2021,46212,47341,45545,46877
